"","rowname","logFC_il1b","t_il1b","P.Value_il1b","adj.P.Val_il1b","z.std_il1b","DE_il1b","logFC_CTS","t_CTS","P.Value_CTS","adj.P.Val_CTS","z.std_CTS","DE_CTS"
"1","ENSG00000000419",-0.0659186542126222,-1.16695923780836,0.249256502649651,0.425036012368535,-1.15215714898353,FALSE,-0.0473454777944449,-0.851380489913891,0.399007992424412,0.542420287189016,-0.843394239728203,FALSE
"2","ENSG00000000457",0.0754947027411081,1.23730770776581,0.222165233948397,0.393742208558023,1.22079081078405,FALSE,-0.0203031652149492,-0.332129457295058,0.741295618585433,0.825965681323075,-0.330138096511805,FALSE
"3","ENSG00000000971",0.431271100412349,4.28816004800175,0.000102670473349191,0.00103060964017774,3.88419266019398,TRUE,-0.42628175709648,-4.18572615207199,0.000142110850203367,0.00137198917037225,-3.80446526618665,TRUE
"4","ENSG00000001036",-0.0940823537963915,-2.01623442684546,0.0498712078098185,0.134951933458561,-1.96106699872726,FALSE,-0.112434498502019,-2.43190490548743,0.0191402805198102,0.0574421473165944,-2.34278751034071,FALSE
"5","ENSG00000001084",0.022290336877495,0.440701283085603,0.661511512433247,0.796153495277518,0.437827254463907,FALSE,0.138864230856928,2.81126280822444,0.00725988042692108,0.0271925116302226,2.68468218465405,TRUE
"6","ENSG00000001167",-0.149199038053789,-3.81671721121637,0.000407567914866542,0.00314123390795644,-3.53513432749655,TRUE,-0.0258248312448381,-0.672560897136307,0.504651898078497,0.639742055893558,-0.667188246006866,FALSE
"7","ENSG00000001460",-0.0176598103410438,-0.218527690207818,0.828004802889973,0.903665150990661,-0.217261187049876,FALSE,0.114838752507158,1.50131288920765,0.140249059820295,0.253148263966942,1.47486418887833,FALSE
"8","ENSG00000001461",-0.00638962017510544,-0.109430754811965,0.913348487490012,0.954451374517568,-0.108815931318646,FALSE,-0.114400920475592,-1.96310754952074,0.0558546805925675,0.128459829690154,-1.91216775465683,FALSE
"9","ENSG00000001617",-0.00709617083217594,-0.0571971454086935,0.954638134421946,0.979067316138743,-0.0568833288962046,FALSE,-0.606639955424557,-4.68031363863178,2.67344635659078e-05,0.000404606475869494,-4.19963581227392,TRUE
"10","ENSG00000001629",-0.0418877031268001,-1.21152730124715,0.231956645306824,0.404725628176225,-1.19533378379036,FALSE,0.0488304197329807,1.41690036586482,0.163352246982604,0.282225008204897,1.39388529014201,FALSE
